Pfr_ID,HOF,Age,All_Pro,Pro_Bowl,First_Team,G,Cmp,Pass_Att,Pass_Yds,Pass_TD,Pass_Int,Rush_Att,Rush_Yds,Rush_TDs,Rec,Rec_Yds,Rec_TDs,Tackles,Def_Int,Sacks
CannA.00,No,23,0,0,2,24,,,,,,,,,,,,,,
DerbA.00,No,24,0,0,0,6,,,,,,,,,2,22,0,,,
RipkAa00,No,22,0,0,0,25,,,,,,16,72,0,5,30,0,,,
AmosAd00,No,22,0,0,2,26,,,,,,,,,,,,97,,1
KingAk00,No,22,0,0,0,5,,,,,,,,,,,,,,
CartAl01,No,20,0,0,0,,,,,,,,,,,,,,,
MarpAl00,No,22,0,0,2,23,,,,,,,,,,,,,,
CoopAm00,No,21,0,1,1,26,,,,,,3,-3,0,134,1970,9,,,
HerrAm00,No,24,0,0,0,3,,,,,,,,,,,,,,
AbduAm00,No,22,0,0,1,19,,,,,,161,698,2,30,240,2,,,
DeboAn00,No,,0,0,0,,,,,,,,,,,,,,,
DonnAn00,No,23,0,0,0,15,,,,,,,,,,,,,,
PeatAn00,No,21,0,0,0,21,,,,,,,,,,,,,,
GallAn00,No,24,0,0,1,11,,,,,,,,,,,,,,
BlacAn00,No,22,0,0,0,27,,,,,,,,,,,,12,,2.5
ChicAn00,No,22,0,0,0,18,,,,,,,,,,,,19,,2.5
MorrAn00,No,23,0,0,0,,,,,,,,,,,,,,,
KouaAr00,No,23,0,0,0,6,,,,,,,,,,,,,,
ArmsAr01,No,21,0,0,0,24,,,,,,,,,,,,23,,4.5
ReitAu00,No,23,0,0,0,1,,,,,,,,,,,,,,
ShepAu00,No,23,0,0,0,14,,,,,,,,,,,,,,
DuboB.00,No,23,0,0,0,,,,,,,,,,,,,,,
HeenBe00,No,22,0,0,0,19,,,,,,,,,,,,38,,2.5
KoyaBe00,No,22,0,0,0,8,,,,,,,,,8,76,0,,,
McKiBe00,No,22,0,0,2,24,,,,,,,,,,,,88,,4
BellBl00,No,24,0,0,0,23,,,,,,,,,17,196,0,,,
HartBo00,No,21,0,0,0,18,,,,,,,,,,,,,,
McCaBo01,No,22,0,0,0,26,,,,,,,,,,,,36,1,1
PiniBr00,No,21,0,0,0,26,,,,,,,,,,,,,,
ScheBr00,No,23,0,0,2,27,,,,,,,,,,,,,,
PerrBr02,No,22,0,0,0,10,,,,,,1,2,0,20,280,1,,,
HundBr00,No,22,0,0,0,2,2,7,17,0,1,1,0,0,,,,,,
MihaBr00,No,23,0,0,0,,,,,,,,,,,,,,,
HageBr00,No,23,0,0,0,26,,,,,,,,,,,,,,
PettBr01,No,24,0,0,0,2,21,34,182,1,1,,,,,,,,,
DuprAl00,No,22,0,0,0,18,,,,,,,,,,,,19,,4
SassBu00,No,,0,0,0,,,,,,,,,,,,,,,
JoneBy00,No,23,0,0,1,27,,,,,,,,,,,,92,,
UzomC.00,No,22,0,0,0,13,,,,,,,,,18,197,0,,,
ArtiCa00,No,25,0,0,0,10,,,,,,81,327,3,6,69,0,,,
ErviCa00,No,23,0,0,0,24,,,,,,,,,,,,,,
DaviCa01,No,23,0,0,0,13,,,,,,,,,,,,4,,
OgbuCe00,No,23,0,0,1,15,,,,,,,,,,,,,,
ThomCe00,No,22,0,0,0,,,,,,,,,,,,,,,
GainCh00,No,22,0,0,0,6,,,,,,,,,,,,15,,
GreeCh02,No,23,0,0,0,4,,,,,,,,,,,,,,
ConlCh00,No,22,0,0,0,26,,,,,,,,,48,553,1,,,
CoviCh00,No,21,0,0,0,25,,,,,,,,,,,,15,,2
RingCh00,No,23,0,0,0,4,,,,,,,,,,,,1,,
GeatCl00,No,23,0,0,0,24,,,,,,,,,,,,71,,
WalfCl00,No,23,0,0,0,25,,,,,,,,,51,556,4,,,
WichCo00,No,23,0,0,0,21,,,,,,,,,,,,,,
RobiCo00,No,23,0,0,0,10,,,,,,,,,,,,,,
MageCr00,No,23,0,0,0,18,,,,,,,,,,,,21,1,
